Japanese,Engl,EnglAnt,Dutch,DutchAnt
hisohiso,whispering,calling,fluisterend,roepend
hokahoka,steaming,cooling,dampend,afgekoeld
kibikibi,energetic,lethargic,energiek,futloos
bukubuku,chubby,slim,mollig,slank
mushimushi,humid,dry,vochtig,droog
buruburu,shivering,sweating,rillend,zwetend
hikuhiku,agitated,calm,geagiteerd,onbewogen
ukiuki,happy,sad,gelukkig,bedroefd
boroboro,worn out,brand new,versleten,gloednieuw
gochagocha,messy,tidy,rommelig,opgeruimd
harahara,suspenseful,relaxing,ongedurig,ontspannen
berabera,chatty,reserved,spraakzaam,ingetogen
tsuyatsuya,glossy,matte,glanzend,mat
yurayura,wobbly,steady,wiebelend,stilzittend
gayagaya,noisy,quiet,lawaaiig,ingehouden
gowagowa,stiff,flexible,stijf,soepel
sekaseka,hasty,patient,haastig,gedulig
debudebu,fat,thin,dik,dun
zukezuke,rude,polite,kortaf,beleefd
mojimoji,hesitant,assured,aarzelend,overtuigd
